timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519580892002,416,HTTP Request,200,,request for index 3-3,text,true,,3425,144,33,183,415,0,0
1519580891513,979,HTTP Request_SignupCheck,200,,signuptest 1-5,text,true,,640,563,93,199,979,0,116
1519580892184,437,HTTP Request,200,,request for index 3-17,text,true,,3425,141,47,223,437,0,0
1519580892030,610,HTTP Request,200,,request for index 3-5,text,true,,3425,148,47,223,610,0,0
1519580891538,1155,HTTP Request_SignupCheck,200,,signuptest 1-12,text,true,,640,602,99,230,1155,0,91
1519580892241,540,HTTP Request,200,,request for index 3-21,text,true,,3425,145,55,240,512,0,0
1519580892137,662,HTTP Request,200,,request for index 3-13,text,true,,3425,142,56,242,662,0,0
1519580891569,1258,HTTP Request_SignupCheck,200,,signuptest 1-15,text,true,,640,558,98,245,1225,0,65
1519580891627,1439,HTTP Request_SignupCheck,200,,signuptest 1-21,text,true,,640,566,97,273,1439,0,1
1519580891702,1512,HTTP Request_SignupCheck,200,,signuptest 1-27,text,true,,640,608,96,281,1512,0,0
1519580892113,1272,HTTP Request,200,,request for index 3-11,text,true,,3425,143,95,290,1144,0,1
1519580891620,1781,HTTP Request_Login check,200,,login Test 2-4,text,true,,651,468,100,289,1781,0,14
1519580891578,1888,HTTP Request_Login check,200,,login Test 2-1,text,true,,651,478,99,288,1877,0,56
1519580891558,1925,HTTP Request_SignupCheck,200,,signuptest 1-14,text,true,,640,577,95,287,1925,0,76
1519580891520,1989,HTTP Request_SignupCheck,200,,signuptest 1-10,text,true,,640,597,94,286,1988,0,113
1519580891512,2109,HTTP Request_SignupCheck,200,,signuptest 1-3,text,true,,640,594,93,285,2097,0,122
1519580891511,2128,HTTP Request_SignupCheck,200,,signuptest 1-2,text,true,,640,606,92,284,2128,0,121
1519580891679,2067,HTTP Request_Login check,200,,login Test 2-8,text,true,,651,508,98,283,2067,0,22
1519580892121,1628,HTTP Request,200,,request for index 3-12,text,true,,3425,147,94,282,1627,0,1
1519580892065,2024,HTTP Request,200,,request for index 3-1,text,true,,3425,151,93,281,2024,0,11
1519580891617,2487,HTTP Request_SignupCheck,200,,signuptest 1-20,text,true,,640,559,91,280,2487,0,8
1519580891941,2179,HTTP Request_Login check,200,,login Test 2-27,text,true,,651,499,97,279,1956,0,1
1519580892311,1812,HTTP Request,200,,request for index 3-24,text,true,,3425,144,92,278,1677,0,1
1519580892060,2066,HTTP Request,200,,request for index 3-6,text,true,,3425,143,91,277,2065,0,35
1519580892148,2208,HTTP Request_Login check,200,,login Test 2-44,text,true,,651,489,96,276,1995,0,0
1519580892272,2089,HTTP Request_SignupCheck,200,,signuptest 1-74,text,true,,640,602,90,275,2089,0,1
1519580891759,2604,HTTP Request_SignupCheck,200,,signuptest 1-31,text,true,,4198,560,89,274,2524,0,0
1519580891592,2776,HTTP Request_Login check,200,,login Test 2-2,text,true,,651,473,95,273,2776,0,42
1519580892314,2058,HTTP Request_SignupCheck,200,,signuptest 1-79,text,true,,4198,587,88,272,2058,0,0
1519580891865,2512,HTTP Request_SignupCheck,200,,signuptest 1-41,text,true,,640,557,87,271,2508,0,1
1519580891548,2831,HTTP Request_SignupCheck,200,,signuptest 1-13,text,true,,640,582,86,270,2831,0,86
1519580892210,2170,HTTP Request_SignupCheck,200,,signuptest 1-70,text,true,,640,586,85,269,2169,0,0
